Group	Metric	Description	Perids	Values
Page and Post Stories	page_stories	The number of stories created about your Page (Stories)	"day, week, days_28"	
Page and Post Stories	page_storytellers	"The number of people sharing stories about your page ('People Talking About This' / PTAT). These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place"	"day, week, days_28"	
Page and Post Stories	page_stories_by_story_type	"The number of stories about your Page's stories, by Page story type"	"day, week, days_28"	"checkin,coupon,event,fan,mention,page post,question,user post,other"
Page and Post Stories	page_storytellers_by_story_type	"The number of people talking about your Page's stories, by Page story type"	"day, week, days_28"	"checkin,coupon,event,fan,mention,page post,question,user post,other"
Page and Post Stories	page_storytellers_by_age_gender	The number of People Talking About the Page by user age and gender	"day, week, days_28"	
Page and Post Stories	page_storytellers_by_city	The number of People Talking About the Page by user city	"day, week, days_28"	
Page and Post Stories	page_storytellers_by_country	The number of People Talking About the Page by user country	"day, week, days_28"	
Page and Post Stories	page_storytellers_by_locale	The number of People Talking About the Page by user language	"day, week, days_28"	
Page and Post Stories	post_stories	The number of stories generated about your Page post ('Stories')	lifetime	
Page and Post Stories	post_storytellers	The number of unique people who created a story about your Page post ('People Talking About This' / PTAT)	lifetime	
Page and Post Stories	post_stories_by_action_type	"The number of stories created about your Page post, by action type"	lifetime	
Page and Post Stories	post_storytellers_by_action_type	"The number of unique people who created a story about your Page post, by action type"	lifetime	
Page Impressions	page_impressions	The total number of impressions seen of any content associated with your Page	"day, week, days_28"	
Page Impressions	page_impressions_unique	The number of people who have seen any content associated with your Page	"day, week, days_28"	
Page Impressions	page_impressions_paid	The number of impressions of a Sponsored Story or Ad pointing to your Page	"day, week, days_28"	
Page Impressions	page_impressions_paid_unique	Number of people who saw a sponsored story or Ad about your Page	"day, week, days_28"	
Page Impressions	page_impressions_organic	The number of times your posts were seen in News Feed or Ticker or on visits to your Page. These impressions can be Fans or non-Fans	"day, week, days_28"	
Page Impressions	page_impressions_organic_unique	"The number of people who visited your Page, or saw your Page or one of its posts in News Feed or Ticker. These impressions can be Fans or non-Fans"	"day, week, days_28"	
Page Impressions	page_impressions_viral	"The number of impressions of a story published by a friend about your Page. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place"	"day, week, days_28"	
Page Impressions	page_impressions_viral_unique	"The number of people who saw your Page or one of its posts from a story published by a friend. These stories include liking your Page, posting to your Page's Wall, liking, commenting on or sharing one of your Page posts, answering a Question you posted, RSVPing to one of your events, mentioning your Page, phototagging your Page or checking in at your Place"	"day, week, days_28"	
Page Impressions	page_impressions_by_story_type	Total impressions of stories published by a friend about your Page by story type	"day, week, days_28"	"checkin,coupon,event,fan,mention,page post,question,user post,other"
Page Impressions	page_impressions_by_story_type_unique	The number of people who saw stories published by a friend about your Page by story type	"day, week, days_28"	"checkin,coupon,event,fan,mention,page post,question,user post,other"
Page Impressions	page_impressions_by_city_unique	The number of people who have seen any content associated with your Page by city	"day, week, days_28"	
Page Impressions	page_impressions_by_country_unique	The number of people who have seen any content associated with your Page by country	"day, week, days_28"	
Page Impressions	page_impressions_by_locale_unique	The number of people who have seen any content associated with your Page by user selected language	"day, week, days_28"	
Page Impressions	page_impressions_by_age_gender_unique	The number of people who have seen any content associated with your Page by age and gender grouping	"day, week, days_28"	
Page Impressions	page_impressions_frequency_distribution	The number of people your Page reached broken down by how many times people saw any content about your Page	"day, week, days_28"	
Page Impressions	page_impressions_viral_frequency_distribution	"The number of people your Page reached from a story published by a friend, broken down by how many times people saw stories about your Page"	"day, week, days_28"	
Page Impressions	page_impressions_by_paid_non_paid	"The total number of impressions seen of any content associated with your Page, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Impressions	page_impressions_by_paid_non_paid_unique	"The number of people seen of any content associated with your Page, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Engagement	page_engaged_users	The number of people who engaged with your Page. Engagement includes any click	"day, week, days_28"	
Page Engagement	page_consumptions	The number of times people clicked on any of your content	"day, week, days_28"	
Page Engagement	page_consumptions_unique	The number of people who clicked on any of your content	"day, week, days_28"	
Page Engagement	page_consumptions_by_consumption_type	"The number of times people clicked on any of your content, by type"	"day, week, days_28"	
Page Engagement	page_consumptions_by_consumption_type_unique	"The number of people who clicked on any of your content, by type"	"day, week, days_28"	
Page Engagement	page_places_checkin_total	The number of times people checked into a place	"day, week, days_28"	
Page Engagement	page_places_checkin_total_unique	The number of people who checked into a place	"day, week, days_28"	
Page Engagement	page_places_checkin_mobile	The number of times people checked into a place using mobile phones	"day, week, days_28"	
Page Engagement	page_places_checkin_mobile_unique	The number of people who checked into a place using mobile phones	"day, week, days_28"	
Page Engagement	page_places_checkins_by_age_gender	gender and age of people who checked in at your Place	day	
Page Engagement	page_places_checkins_by_locale	top locales of people who checked into your Place	day	
Page Engagement	page_places_checkins_by_country	top countries of people who checked into your Place	day	
Page Engagement	page_negative_feedback	"The number of times people took a negative action (e.g., un-liked or hid a post)"	"day, week, days_28"	
Page Engagement	page_negative_feedback_unique	"The number of people who took a negative action (e.g., un-liked or hid a post)"	"day, week, days_28"	
Page Engagement	page_negative_feedback_by_type	The number of times people took a negative action broken down by type	"day, week, days_28"	"hide_all,hide,unlike_page,report_spam"
Page Engagement	page_negative_feedback_by_type_unique	The number of people who took a negative action broken down by type	"day, week, days_28"	"hide_all,hide,unlike_page,report_spam"
Page Engagement	page_positive_feedback_by_type	The number of times people took a positive action broken down by type	"day, week, days_28"	"like,comment,link,answer,claim,rsvp"
Page Engagement	page_positive_feedback_by_type_unique	The number of people who took a positive action broken down by type	"day, week, days_28"	"like,comment,link,answer,claim,rsvp"
Page Engagement	page_fans_online	"The number of your fans who saw any posts on Facebook on a given day, broken down by hour of day in PST"	day	
Page Engagement	page_fans_online_per_day	The number of your fans who saw any posts on Facebook on a given day.	day	
Page User Demographics	page_fans	The total number of people who have liked your Page.	lifetime	
Page User Demographics	page_fans_locale	Aggregated language data about the people who like your Page based on the default language setting selected when accessing Facebook.	lifetime	
Page User Demographics	page_fans_city	"Aggregated Facebook location data, sorted by city, about the people who like your Page."	lifetime	
Page User Demographics	page_fans_country	"Aggregated Facebook location data, sorted by country, about the people who like your Page"	lifetime	
Page User Demographics	page_fans_gender_age	Aggregated demographic data about the people who like your Page based on the age and gender information they provide in their user profiles.	lifetime	
Page User Demographics	page_fan_adds	The number of new people who have liked your Page.	day	
Page User Demographics	page_fan_adds_unique	The number of new people who have liked your Page.	day	
Page User Demographics	page_fans_by_like_source	This is a breakdown of the number of Page likes from the most common places where people can like your Page	day	"page_suggestions,timeline,ads,registration,mobile,wizard-suggestion,profile-connect,external-connect,recommended-pages,favorites,api,page-browser,hovercard,search,page-profile,ticker,like-story"
Page User Demographics	page_fans_by_like_source_unique	"The number of people who liked your Page, broken down by the most common places where people can like your Page"	day	"page_suggestions,timeline,ads,registration,mobile,wizard-suggestion,profile-connect,external-connect,recommended-pages,favorites,api,page-browser,hovercard,search,page-profile,ticker,like-story"
Page User Demographics	page_fan_removes	Unlikes of your Page	day	
Page User Demographics	page_fan_removes_unique	Unlikes of your Page	day	
Page User Demographics	page_fans_by_unlike_source_unique	"The number of people who unliked your Page, broken down by the most common ways people can unlike your Page."	day	
Page Views	page_views	Page views	"day, week"	
Page Views	page_views_unique	Page Views from users logged into Facebook	"day, week"	
Page Views	page_views_login	Page Views from users logged into Facebook	day	
Page Views	page_views_login_unique	Page Views from users logged into Facebook	day	
Page Views	page_views_logout	Page views from users not logged into Facebook	day	
Page Views	page_views_external_referrals	Top referrering external domains sending traffic to your Page.	day	
Page Posts	page_posts_impressions	The number of impressions that came from all of your posts	"day, week, days_28"	
Page Posts	page_posts_impressions_unique	The number of people who saw any of your Page posts	"day, week, days_28"	
Page Posts	page_posts_impressions_paid	The number of impressions of your Page posts in an Ad or Sponsored Story	"day, week, days_28"	
Page Posts	page_posts_impressions_paid_unique	The number of people who saw your Page posts in an Ad or Sponsored Story	"day, week, days_28"	
Page Posts	page_posts_impressions_organic	The number of impressions of your posts in News Feed or Ticker or on your Page	"day, week, days_28"	
Page Posts	page_posts_impressions_organic_unique	"The number of people who saw your Page posts in News Feed or Ticker, or on your Page's Wall"	"day, week, days_28"	
Page Posts	page_posts_impressions_viral	The number of times users saw your posts via stories published by their friends	"day, week, days_28"	
Page Posts	page_posts_impressions_viral_unique	The number of people who saw your Page posts via a story from a friend	"day, week, days_28"	
Page Posts	page_posts_impressions_frequency_distribution	"The number of people who saw your Page posts, broken down by how many times people saw your posts"	"day, week, days_28"	
Page Posts	page_posts_impressions_by_paid_non_paid	"The number of impressions that came from all of your posts, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Posts	page_posts_impressions_by_paid_non_paid_unique	"The number of people who saw any of your Page posts, broken down by total, paid, and non-paid"	"day, week, days_28"	
Page Post Impressions	post_impressions	The number of impressions for your Page post	lifetime	
Page Post Impressions	post_impressions_unique	The number of people who saw your Page post	lifetime	
Page Post Impressions	post_impressions_paid	The number of impressions for your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_paid_unique	The number of people who saw your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_fan	The number of impressions for your Page post by people who have liked your Page	lifetime	
Page Post Impressions	post_impressions_fan_unique	The number of people who have like your Page who saw your Page post	lifetime	
Page Post Impressions	post_impressions_fan_paid	The number of impressions for your Page post by people who like your Page in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_fan_paid_unique	The number of people who have like your Page and saw your Page post in an Ad or Sponsored Story	lifetime	
Page Post Impressions	post_impressions_organic	"The number of impressions of your post in Newsfeed, Ticker, or on your Page's Wall"	lifetime	
Page Post Impressions	post_impressions_organic_unique	The number of people who saw your post in their Newsfeed or Ticker or on your Page's Wall	lifetime	
Page Post Impressions	post_impressions_viral	The number of impressions of your Page post in a story generated by a friend	lifetime	
Page Post Impressions	post_impressions_viral_unique	The number of people who saw your page post in a story from a friend	lifetime	
Page Post Impressions	post_impressions_by_story_type	The number of times this post was seen via a story published by a friend of the person viewing the post	lifetime	
Page Post Impressions	post_impressions_by_story_type_unique	"The number of people who saw your page post in a story from a friend, by story type"	lifetime	
Page Post Impressions	post_impressions_by_paid_non_paid	"The number of impressions for your Page post, broken down by total, paid, and non-paid"	lifetime	
Page Post Impressions	post_impressions_by_paid_non_paid_unique	"The number of people who saw your Page post, broken down by total, paid, and non-paid"	lifetime	
Page Post Engagement	post_consumptions	The number of times people clicked on anywhere in your posts without generating a story	lifetime	
Page Post Engagement	post_consumptions_unique	The number of people who clicked anywhere in your post without generating a story	lifetime	
Page Post Engagement	post_consumptions_by_type	"The number of times people clicked on anywhere in your posts without generating a story, by consumption type"	lifetime	
Page Post Engagement	post_consumptions_by_type_unique	"The number of people who clicked anywhere in your post without generating a story, by consumption type"	lifetime	
Page Post Engagement	post_engaged_users	The number of people who clicked anywhere in your posts	lifetime	
Page Post Engagement	post_negative_feedback	The number of times people took a negative action in your post (e.g. hid it)	lifetime	
Page Post Engagement	post_negative_feedback_unique	"The number of people who took a negative action in your post (e.g., hid it)"	lifetime	
Page Post Engagement	post_negative_feedback_by_type	The number of times people took a negative action in your post broken down by type	lifetime	
Page Post Engagement	post_negative_feedback_by_type_unique	The number of people who took a negative action in your post broken down by type	lifetime	
